"","name","hex"
"1","Nokia Blue","#005aff"
"2","Angel Blue (RAL Design)","#96AED0"
"3","Picton Blue","#45B1E8"
"4","Light Ultramarine Blue","#4147C0"
"5","Teal Blue (Crayola)","#008080"
"6","Mosaic Blue","#47B7DC"
"7","Blue Screen","#150DF7"
"8","January Blue","#00A1B9"
"9","Hippie Blue","#331878"
"10","Lagoon Blue (RAL Design)","#0084A0"
"11","Blue Bolt","#355BF5"
"12","Mild Blue","#617CB5"
"13","Madonna Blue","#71B5D1"
"14","Mineral Blue","#187194"
"15","Romantic Blue","#AAD1E7"
"16","Marietta Blue","#00205B"
"17","Oxford Blue","#002147"
"18","Boy Blue","#8CACD6"
"19","Skype Blue","#00AFF0"
"20","Sea Blue (RAL Design)","#80B2C9"
"21","Battery Charged Blue","#1DACD6"
"22","Gulf Blue","#7BB5DC"
"23","German Blue","#049BE5"
"24","Blue Red","#360BA2"
"25","Harbour Blue","#3D7391"
"26","Mohair Soft Blue Grey","#97B2B7"
"27","Cambridge Blue","#8BC0B5"
"28","Nile Blue","#35579B"
"29","Louis Blue","#A8B8C6"
"30","Different Blue","#2F668C"
"31","Culinary Blue","#7BB6C1"
"32","Nature Blue","#4B89BF"
"33","Satin Soft Blue","#9CADC7"
"34","Caribbean Blue","#4C9BB0"
"35","Light Blue (Crayola)","#8FD8D8"
"36","Coronation Blue","#59529C"
"37","Jordy Blue","#8BB8F1"
"38","Functional Blue","#3F6086"
"39","Bluetiful","#1E4BCA"
"40","Mediterranean Blue","#327BC4"
"41","Single Blue","#243C5A"
"42","Hazy Blue","#BCC8CC"
"43","Light Violet Blue","#806AEC"
"44","Majorelle Blue","#6050DC"
"45","Frosty White Blue","#CCE9E4"
"46","French Blue (Pantone)","#0072B5"
"47","Neon Aqua Blue","#23C1FF"
"48","Blue Bonnet","#3838F0"
"49","Feather Soft Blue","#A2AEBF"
"50","Opera Blue","#453E6E"
"51","Discord Blue","#5865F2"
"52","Dark Ice Blue","#53CCDC"
"53","Bermuda Blue","#8CB1C2"
"54","New Blue Sky","#41ADFF"
"55","Coastal Blue","#55A9DC"
"56","Mallard Blue","#214C4F"
"57","Airy Blue","#93B7D5"
"58","Maximum Blue Green","#30BFBF"
"59","Synthetic Blue","#142B6B"
"60","Zircon Blue","#00849D"
"61","Floral Blue","#91B6D8"
"62","Illusion Blue","#4F1AA5"
"63","Columbia Blue","#B9D9EB"
"64","Yale Blue","#03346A"
"65","Cetacean Blue","#001440"
"66","Lowe’s Blue","#004990"
"67","Kitchen Blue","#8AB5BD"
"68","Fashion Sky Blue","#1799E7"
"69","Honolulu Blue","#006DB0"
"70","Cerritos Blue","#002E66"
"71","UAH Blue","#0077C8"
"72","GoDaddy Blue","#1BDBDB"
"73","Cashmere Blue","#63779D"
"74","Bluetonium","#BCD5E3"
"75","Miami Blue","#54C3EA"
"76","Butterfly Blue","#5F93CC"
"77","Limoges Blue","#ABBABB"
"78","Cisco Blue","#00BCEB"
"79","Zappos Blue","#0076BD"
"80","Blue Pot","#141854"
"81","Light Baby Blue","#A6DAF4"
"82","Infantry Blue","#30506D"
"83","Make-up Blue","#335F8D"
"84","Blue Lavender","#9995DB"
"85","Petrol Blue","#0C5678"
"86","Middle Blue Green","#8DD9CC"
"87","Baja Blue","#5F6EAE"
"88","Hyundai Blue","#00287A"
"89","Majestic Blue","#302E75"
"90","Aztec Blue","#052B72"
"91","Baltimore Blue","#0076A8"
"92","Sierra Blue","#BFDAF7"
"93","Caribbean Blue (RAL Design)","#5FB5D6"
"94","Supreme Blue","#1953BE"
"95","Diode Blue","#0045B0"
"96","DigitalOcean Blue","#0080FF"
"97","Dropbox Blue","#0061FE"
"98","Diamond Blue","#ACCFE6"
"99","Light Topaz Soft Blue","#B5CDD7"
"100","Rugged Blue","#3A4763"
"101","Blouson Blue","#67B7C6"
"102","Transparent Blue","#CDDBDD"
"103","Original Blue","#4470EA"
"104","Blush Blue","#B9B0D0"
"105","Polar Soft Blue","#D0DCDE"
"106","Ice Shard Soft Blue","#C1DEE2"
"107","Fresh Blue (RAL Design)","#8BD6E2"
"108","Light Blue (RAL Design)","#9BD0E1"
"109","Matte Blue (RAL Design)","#8FB0CE"
"110","Hydrogen Blue","#33476D"
"111","Casual Blue","#498090"
"112","Deep Blue (RAL Design)","#264674"
"113","Jade Blue","#99B8BC"
"114","Petrel Blue Grey","#A0AEBC"
"115","Bayside Blue","#277CE0"
"116","Sapphire Shimmer Blue","#5776AF"
"117","Angel Blue (Pantone)","#83C5CD"
"118","Fairytale Blue","#3E9ABD"
"119","Light Purple Blue","#BD86D2"
"120","Chrysocolla Blue","#29A2C0"
"121","Brilliant Blue","#4F98CB"
"122","Radiant Blue","#2B5DF5"
"123","Smoky Blue","#6F787D"
"124","Simple Baby Blue","#8DCDF8"
"125","Tourmaline Water Blue","#99D3DF"
"126","Fountain Blue","#5AA7C6"
"127","Corporate Blue","#2B3459"
"128","Summer Soft Blue","#94D3D1"
"129","Light Cobalt Blue","#2F61AD"
"130","Theatre Blue","#21467A"
"131","Blue Magenta","#6A2765"
"132","Forget-me-not Blue","#358094"
"133","Catalina Blue","#223F67"
"134","Mykonos Blue","#025880"
"135","King’s Blue","#66AADE"
"136","Intense Sapphire Blue","#1C2F68"
"137","Simple Blue","#1659E0"
"138","Blue Nickel","#1B8EB8"
"139","Mountain Lake Blue","#85D4D4"
"140","Balmy Blue","#B2D0E4"
"141","Blue Glow","#5050F4"
"142","Curious Blue","#3D85B8"
"143","Nantucket Blue","#698DA4"
"144","Clear Blue","#009FC8"
"145","Pure Light Blue","#006A93"
"146","Spruce Blue","#577E89"
"147","Philippine Blue","#0039A8"
"148","Blueberry Soft Blue","#5E96C3"
"149","Cool Dark Blue","#0C1232"
"150","Intense Cobalt Blue","#03276F"
"151","Alpine Morning Blue","#A6CCD8"
"152","Nordland Light Blue","#96AEC5"
"153","Rare Blue","#3688B1"
"154","Danish Blue","#8DA8B3"
"155","Lyric Blue","#6F848E"
"156","Pink Blue","#D7C1F4"
"157","Blue Fire","#006CF0"
"158","Olympian Blue","#254773"
"159","Indian Blue","#0C1065"
"160","Super Blue","#0647D4"
"161","Purple Blue","#392864"
"162","Pallid Blue","#B3CDD4"
"163","British Blue","#012169"
"164","Paper Blue","#BCD3E0"
"165","Wind Blue","#B1C9DF"
"166","Blue Blood","#659FB6"
"167","Heavenly Blue","#72A2F1"
"168","Princess Blue","#149CC4"
"169","Icelandic Blue","#AAADC2"
"170","Intense Blue","#232A6C"
"171","Alienware Blue","#007CC0"
"172","Light Blue Gray","#A3AABE"
"173","Ballad Blue","#C0CEDA"
"174","Blueberry Mauve","#A99EB3"
"175","Blue Skies","#1273CE"
"176","UNICEF Blue","#1CABE2"
"177","Smock Blue","#3B646C"
"178","Teal Blue (Pantone)","#007F7B"
"179","Blue Cheese","#D9E4DF"
"180","Tiffany Blue","#0BBBBB"
"181","Bolt Blue","#006CFF"
"182","Average Blue","#4E80DE"
"183","Classic Blue Gray","#7B8295"
"184","Country Blue","#759DAF"
"185","Alpine Blue","#2673E2"
"186","Marooned Blue","#352640"
"187","Ice Crystal Blue","#A6E3E0"
"188","Corundum Blue","#4A6267"
"189","Frosty Soft Blue","#B4E0DE"
"190","BlackBerry Blue","#1475DC"
"191","Rose Blue","#7D7CC0"
"192","Silver Fir Blue","#7196A2"
"193","Sailor Blue","#006687"
"194","Shazam Blue","#0088FF"
"195","Robin’s Egg Blue","#00CCCC"
"196","Young Boy Blue","#4F8AD2"
"197","Cotton Blue","#2063AC"
"198","Azores Blue","#0085A7"
"199","Blue Coral","#1C5366"
"200","Antique Royal Blue","#37405E"
"201","Powder Soft Blue","#B9C9D7"
"202","Granite Blue","#6D778F"
"203","Aqua Blue","#65D8EC"
"204","Lake Blue","#5E8FC7"
"205","Light Teal Blue","#518E99"
"206","Costume Blue","#6477A0"
"207","Bold Blue","#24325A"
"208","Stone Blue","#00688D"
